Age,Income,Employment_Length,Home_Ownership,Debt_to_Income,Credit_Score,Delinquencies_2yrs,Public_Records,Loan_Status,Loan_ID,Loan_Amount,Loan_Term,Loan_Purpose,Revolving_Utilization,Denial_Reason
28,40000.0,18.0,MORTGAGE,18.86670711856777,760,0,0,1,LP0032,7789,36,home_improvement,20.01135517837805,
41,71879.0,20.0,MORTGAGE,19.33456038244697,780,0,0,1,LP0033,28710,60,medical,17.93889113944824,
26,46439.0,27.0,MORTGAGE,30.0,677,0,0,1,LP0034,15114,48,debt_consolidation,8.276553998750236,
38,70042.0,26.0,MORTGAGE,17.85645704893886,681,0,0,1,LP0035,20109,36,debt_consolidation,16.295144107418572,
38,49448.0,13.0,MORTGAGE,18.72297251648242,677,0,0,1,LP0036,12317,48,car,15.023716797637942,
47,,1.0,RENT,25.0,493,1,0,0,LP0037,12857,60,debt_consolidation,55.070775199699305,Low Credit Score
39,47046.0,12.0,MORTGAGE,13.805293739598488,783,0,0,1,LP0038,10119,36,home_improvement,0.48536339049227273,
62,33449.0,,RENT,44.14655859169255,442,3,1,0,LP0039,11057,24,home_improvement,65.90583923481496,Low Credit Score
45,99601.0,20.0,MORTGAGE,15.280640671103418,814,0,0,1,LP0040,22596,60,medical,16.512155728880607,
42,40000.0,22.0,MORTGAGE,17.62936446784978,756,0,0,1,LP0041,8409,36,debt_consolidation,12.257175247214374,
40,63324.0,5.0,MORTGAGE,20.038281268124734,670,2,1,1,LP0042,14960,48,debt_consolidation,13.891524816205203,
44,63510.0,15.0,MORTGAGE,21.231486847017862,671,0,0,1,LP0043,16668,48,car,22.48378392995237,
48,20000.0,,RENT,28.32457013185882,545,2,0,0,LP0044,5902,36,home_improvement,90.91694721309563,Low Credit Score
43,64408.0,4.0,MORTGAGE,13.112189372636566,732,1,0,1,LP0045,20838,48,medical,4.516002595860138,
33,67047.0,9.0,OWN,30.0,691,0,0,1,LP0046,6704,36,home_improvement,14.07574819674735,
39,,2.0,RENT,30.576832530450297,562,1,0,0,LP0047,4842,36,debt_consolidation,63.736340019438614,Low Credit Score
30,76884.0,8.0,MORTGAGE,16.22531274283859,705,0,0,1,LP0048,20054,48,debt_consolidation,10.87322671519047,
37,56449.0,17.0,MORTGAGE,27.657195755635282,710,0,0,1,LP0049,25430,12,medical,18.673742978705043,
31,66679.0,4.0,OTHER,45.57733716976901,563,3,1,0,LP0050,12802,24,debt_consolidation,49.31118706976612,Low Credit Score
38,41928.0,23.0,MORTGAGE,12.617684597335984,816,1,0,1,LP0051,13260,60,medical,14.311294504712109,
52,,,RENT,25.38729449487586,630,2,0,0,LP0052,11115,24,medical,61.343130151275446,Delinquencies
37,63942.0,22.0,MORTGAGE,22.275766827410113,716,0,0,1,LP0053,10787,60,home_improvement,13.521561412712321,
26,79950.0,5.0,MORTGAGE,9.243150217160716,681,0,0,1,LP0054,27134,60,medical,18.5406493024764,
26,53560.0,15.0,MORTGAGE,21.94481677617199,679,1,0,1,LP0055,11771,24,debt_consolidation,14.191600363927522,
33,74347.0,4.0,MORTGAGE,14.465714329699018,676,0,0,1,LP0056,18552,36,car,13.899732463141527,
43,45653.0,6.0,OWN,15.996453462584633,814,0,0,1,LP0057,10029,48,car,15.138850392676577,
34,50407.0,3.0,MORTGAGE,24.220269479310932,710,0,0,1,LP0058,11433,12,debt_consolidation,15.388837344862647,
23,47122.0,5.0,MORTGAGE,19.499254758853734,740,1,0,1,LP0059,26962,12,car,18.468759603533847,
39,20000.0,0.0,RENT,36.30453075108462,574,1,1,0,LP0060,7688,12,car,50.03011011135701,Low Credit Score
45,40000.0,18.0,MORTGAGE,21.889773863963775,694,0,0,1,LP0061,16406,24,medical,22.108479416424245,
46,40000.0,7.0,MORTGAGE,20.248045150359147,689,0,0,1,LP0062,13967,24,car,15.838084927646891,
42,49990.0,5.0,MORTGAGE,22.491409280140203,725,0,0,1,LP0063,6967,36,car,6.696377524449913,
68,72394.0,14.0,OWN,17.660611139635115,728,0,0,1,LP0064,24577,12,car,19.289742998121717,
41,86534.0,27.0,OWN,18.888894614649406,688,0,0,1,LP0065,35244,36,home_improvement,21.749122296022957,
35,23976.0,1.0,RENT,50.0,430,2,1,0,LP0066,5146,12,debt_consolidation,69.3765562890825,Low Credit Score
57,20257.0,,RENT,27.778491249423418,519,3,0,0,LP0067,8032,24,medical,61.993559602640346,Low Credit Score
36,29965.0,4.0,RENT,50.0,579,4,0,0,LP0068,11100,48,car,46.00039081833057,Low Credit Score
40,65666.0,16.0,MORTGAGE,17.711960181422477,696,0,0,1,LP0069,31861,48,debt_consolidation,15.93592013744292,
49,65902.0,7.0,MORTGAGE,11.568329266585259,670,0,0,1,LP0070,17017,48,car,13.646866267298712,
39,63287.0,23.0,OWN,7.416681195515,760,0,0,1,LP0071,12039,48,home_improvement,12.967365374484196,
31,62172.0,16.0,OWN,23.25989977104666,755,0,0,1,LP0072,16403,60,home_improvement,14.432573045816849,
38,53437.0,28.0,OWN,24.94977683443912,723,1,0,1,LP0073,23702,12,car,21.42871551066532,
53,,4.0,RENT,26.154995986284476,469,3,0,0,LP0074,2343,48,car,66.6477652906793,Low Credit Score
33,72770.0,22.0,MORTGAGE,23.038267463001983,740,0,0,1,LP0075,7277,60,car,9.98727183805239,
33,50552.0,23.0,MORTGAGE,13.620502111419457,722,0,0,1,LP0076,15617,60,home_improvement,21.097465112833145,
49,20000.0,3.0,RENT,50.0,623,3,1,0,LP0077,5114,60,home_improvement,78.55661895889928,High DTI
39,68410.0,22.0,MORTGAGE,21.14849926356292,739,0,0,1,LP0078,20575,36,debt_consolidation,11.702521458411914,
31,97588.0,2.0,MORTGAGE,22.791442148525007,729,0,0,1,LP0079,38501,36,medical,23.253741721526087,
33,68667.0,19.0,MORTGAGE,18.334909039093663,696,0,0,1,LP0080,16805,60,medical,19.879410416538757,
34,20194.0,2.0,OTHER,30.066931521156366,637,2,0,0,LP0081,2275,48,home_improvement,52.590909344901924,Delinquencies
37,61961.0,3.0,MORTGAGE,11.462128080544995,749,0,0,1,LP0082,31256,12,medical,2.8236721400436715,
41,40000.0,16.0,OWN,18.18437402093173,784,0,0,1,LP0083,8011,24,car,6.659924281661469,
46,62635.0,12.0,OWN,18.958304458673915,725,1,0,1,LP0084,12157,36,debt_consolidation,11.709116561951783,
40,59157.0,12.0,MORTGAGE,19.304445323410487,730,0,0,1,LP0085,24276,48,home_improvement,18.799684909799137,
40,64034.0,13.0,MORTGAGE,21.327919834720966,670,0,0,1,LP0086,16748,48,home_improvement,18.81550012273957,
33,,3.0,RENT,48.17094716859998,623,4,0,0,LP0087,12177,24,medical,76.77706354355018,High DTI
52,20000.0,,OTHER,37.337578359066725,487,1,1,0,LP0088,6965,24,car,48.27038390462865,Low Credit Score
45,20000.0,4.0,RENT,47.57845004948622,495,2,0,0,LP0089,8167,48,debt_consolidation,43.83097408043652,Low Credit Score
44,40000.0,3.0,OWN,20.562332580951935,779,1,0,1,LP0090,10666,24,medical,13.906309935245902,
21,67492.0,21.0,MORTGAGE,15.536252236100237,695,0,0,1,LP0091,30506,48,home_improvement,15.818168818343969,
45,40000.0,20.0,MORTGAGE,26.546930332788513,850,0,0,1,LP0092,4000,24,home_improvement,14.84979421625919,
32,61775.0,27.0,MORTGAGE,23.169625715427788,725,1,0,1,LP0093,23226,24,medical,6.6288642545401535,
34,72952.0,9.0,MORTGAGE,5.824681551135882,732,0,0,1,LP0094,15761,48,car,13.962192168903654,
34,33931.0,3.0,RENT,33.170119789929984,548,3,1,0,LP0095,14835,60,debt_consolidation,64.26712120996426,Low Credit Score
51,81559.0,4.0,MORTGAGE,29.181498104241204,727,0,1,1,LP0096,25626,48,debt_consolidation,19.948996729637553,
48,58643.0,1.0,RENT,33.7307905322479,547,2,1,0,LP0097,13646,12,debt_consolidation,90.18714099294463,Low Credit Score
33,98680.0,8.0,OWN,20.675707177276603,736,0,0,1,LP0098,36144,24,debt_consolidation,16.01952675672452,
28,67490.0,3.0,MORTGAGE,17.260715000781346,733,1,0,1,LP0099,26275,36,car,17.81419998160802,
31,32718.0,1.0,RENT,37.029653755934504,636,2,0,0,LP0100,11915,24,home_improvement,75.5088824094687,Delinquencies
60,21398.0,2.0,RENT,28.751928451614525,554,3,2,0,LP0101,4216,12,home_improvement,70.05507757591796,Low Credit Score
49,79014.0,26.0,MORTGAGE,16.055855733457133,716,0,0,1,LP0102,19879,36,debt_consolidation,20.050345102968063,
44,28988.0,1.0,OTHER,29.284031269575216,648,3,1,0,LP0103,8684,36,debt_consolidation,55.92131191522591,Delinquencies
48,40000.0,26.0,OWN,24.187860237420583,707,0,0,1,LP0104,11834,48,debt_consolidation,16.14386690012341,
24,40160.0,24.0,OWN,17.46790559998506,699,0,0,1,LP0105,15058,60,medical,15.20165200444572,
36,61362.0,8.0,OWN,19.23916488437012,670,0,0,1,LP0106,6136,48,medical,6.092875502241845,
40,60758.0,5.0,MORTGAGE,15.191964824809181,692,0,0,1,LP0107,20258,36,home_improvement,18.873283179450375,
42,54734.0,3.0,RENT,50.0,650,2,0,0,LP0108,14833,36,home_improvement,74.99823521062426,High DTI
36,61370.0,10.0,MORTGAGE,30.0,799,0,0,1,LP0109,13265,60,debt_consolidation,9.431272397890627,
58,,,RENT,33.9249514545595,532,0,0,0,LP0110,4515,24,medical,57.38354761064237,Low Credit Score
40,44507.0,22.0,MORTGAGE,12.798541358861947,743,1,0,1,LP0111,12397,60,car,20.65728898172678,
33,26257.0,,RENT,39.86052501697102,609,4,0,0,LP0112,2625,48,medical,63.55669532196906,Low Credit Score
22,,,RENT,47.63271564856966,525,2,1,0,LP0113,6850,24,home_improvement,63.82581476214041,Low Credit Score
35,22016.0,,OTHER,31.81194465693989,525,0,0,0,LP0114,4676,48,medical,75.32893484091672,Low Credit Score
45,64654.0,5.0,MORTGAGE,15.471718200312797,670,0,0,1,LP0115,22840,60,home_improvement,14.674308321355559,
35,54366.0,24.0,MORTGAGE,25.448748036602908,806,0,0,1,LP0116,11930,24,debt_consolidation,17.241587812150787,
36,59254.0,3.0,OWN,16.20695340271229,772,0,0,1,LP0117,16501,60,car,8.397659344898642,
70,28472.0,2.0,RENT,40.91058626760292,616,0,1,0,LP0118,12932,12,debt_consolidation,50.89735471826003,Low Credit Score
32,44494.0,5.0,MORTGAGE,26.15333888618782,739,0,0,1,LP0119,17772,36,debt_consolidation,18.195628817392468,
40,104192.0,20.0,OWN,27.74335478860743,670,0,0,1,LP0120,40658,24,car,18.267393281093668,
47,,4.0,RENT,42.50978892990528,464,3,2,0,LP0121,8364,36,car,61.451454269257844,Low Credit Score
48,51630.0,15.0,MORTGAGE,14.050369873558703,670,0,0,1,LP0122,18292,12,car,8.857546618095464,
43,20000.0,1.0,RENT,37.628558797418556,642,2,2,0,LP0123,5532,24,home_improvement,54.23993362285205,Delinquencies
30,54593.0,11.0,OWN,21.504628577185514,714,0,0,1,LP0124,15307,36,debt_consolidation,16.76176055157027,
39,53756.0,7.0,MORTGAGE,23.07459491227579,748,0,0,1,LP0125,18329,36,home_improvement,22.30512811169549,
34,101201.0,23.0,OWN,25.10260671644324,767,0,0,1,LP0126,24318,24,car,15.012329147437597,
56,129821.0,27.0,MORTGAGE,21.995441060941193,670,0,0,1,LP0127,58328,36,home_improvement,17.127706471378904,
43,58441.0,25.0,OWN,15.875073133116752,670,0,0,1,LP0128,16596,36,car,10.339865931773994,
39,,1.0,RENT,42.161641880149,648,2,0,0,LP0129,7236,24,medical,64.67396239599151,High DTI
49,20000.0,0.0,RENT,25.0,423,2,1,0,LP0130,8911,36,car,53.86313378094461,Low Credit Score
41,40000.0,16.0,MORTGAGE,21.57681973400317,750,1,0,1,LP0131,16126,36,debt_consolidation,12.898658629445723,
47,,,RENT,40.412132438247916,541,2,0,0,LP0132,3182,48,debt_consolidation,68.02150237431859,Low Credit Score
28,65101.0,9.0,MORTGAGE,24.67827948572281,774,1,0,1,LP0133,22426,48,debt_consolidation,12.989618702800747,
38,,1.0,RENT,36.963232489646494,492,4,1,0,LP0134,19568,12,home_improvement,64.5202006608144,Low Credit Score
30,42998.0,11.0,MORTGAGE,19.20212438419393,782,0,0,1,LP0135,16734,48,debt_consolidation,17.785489792854978,
45,71811.0,12.0,MORTGAGE,18.99242659669266,746,0,0,1,LP0136,13548,48,car,9.542354454819202,
44,74037.0,22.0,MORTGAGE,14.344630824744693,806,0,0,1,LP0137,17346,12,medical,12.824465746939305,
44,53299.0,6.0,OWN,7.283163379313204,821,0,0,1,LP0138,21290,36,debt_consolidation,18.122075694662623,
38,47413.0,15.0,MORTGAGE,16.012350895222703,744,0,0,1,LP0139,10612,36,home_improvement,17.141637070847114,
37,40000.0,24.0,MORTGAGE,19.508096239767983,719,0,0,1,LP0140,10801,48,medical,5.030026866603794,
26,71534.0,5.0,MORTGAGE,18.10691105552353,761,2,0,1,LP0141,32733,12,debt_consolidation,17.97205176978626,
32,62568.0,16.0,OWN,15.826774551049027,741,2,0,1,LP0142,18471,36,debt_consolidation,12.245048045781077,
37,,,RENT,28.433119838696765,552,0,0,0,LP0143,4546,60,medical,77.54744837337654,Low Credit Score
43,105276.0,26.0,OWN,20.446279584997225,721,2,0,1,LP0144,22343,24,debt_consolidation,17.024328464818048,
35,45563.0,4.0,OTHER,25.214889484724615,507,2,1,0,LP0145,15184,24,home_improvement,69.57175531157031,Low Credit Score
38,25950.0,1.0,RENT,41.32576814832325,554,4,0,0,LP0146,4325,24,car,71.31635209820669,Low Credit Score
65,20000.0,,RENT,34.04731085203153,590,1,0,0,LP0147,5505,48,car,86.59742312668136,Low Credit Score
28,90639.0,26.0,MORTGAGE,14.686075992541323,731,0,0,1,LP0148,30212,24,medical,7.795386160590766,
35,,4.0,RENT,34.07442813667466,507,0,0,0,LP0149,13468,24,car,66.33240053974812,Low Credit Score
42,48809.0,12.0,MORTGAGE,20.912240623274155,709,0,0,1,LP0150,17900,60,debt_consolidation,12.2947229703596,
25,76998.0,10.0,OWN,25.460089346805276,705,1,0,1,LP0151,17601,36,debt_consolidation,16.410034933780306,
28,87266.0,21.0,OWN,14.735210043710945,799,0,0,1,LP0152,36463,60,home_improvement,13.518462986074491,
39,20000.0,3.0,RENT,45.418725958830095,650,1,1,0,LP0153,5400,48,car,85.10150850089134,High DTI
23,77270.0,14.0,MORTGAGE,15.484218839724932,735,0,0,1,LP0154,13632,24,medical,10.562953185994289,
37,20000.0,2.0,OTHER,42.7538447008958,598,0,1,0,LP0155,5655,36,debt_consolidation,79.9521449786857,Low Credit Score
32,77731.0,5.0,MORTGAGE,16.06160908197884,748,0,0,1,LP0156,34498,24,medical,8.46549385525641,
36,68481.0,14.0,OWN,13.527336554318056,680,0,0,1,LP0157,21675,24,debt_consolidation,17.401621874375238,
53,36339.0,,RENT,32.90639204947331,479,5,0,0,LP0158,10947,48,debt_consolidation,87.09387125902919,Low Credit Score
34,63787.0,20.0,MORTGAGE,23.17791643811486,776,0,0,1,LP0159,29579,24,home_improvement,16.154322050640438,
42,35457.0,,RENT,35.75423434891424,551,3,2,0,LP0160,5561,12,car,84.02283140353971,Low Credit Score
33,41473.0,25.0,MORTGAGE,5.0,683,0,0,1,LP0161,7110,36,home_improvement,13.520141033938696,
53,,0.0,OTHER,27.5840449066035,635,1,1,0,LP0162,5451,36,car,78.63048321276752,Other
43,65940.0,7.0,MORTGAGE,12.89279688670704,670,0,0,1,LP0163,22239,12,medical,15.140677561006274,
63,,,RENT,25.03406039813064,629,0,2,0,LP0164,7408,48,car,67.44435347979018,Other
57,27743.0,0.0,RENT,33.264680076587695,650,1,1,0,LP0165,12602,24,medical,52.251943847271235,Other
45,40849.0,2.0,RENT,25.0,472,2,0,0,LP0166,13249,24,debt_consolidation,60.4742003005681,Low Credit Score
44,59060.0,22.0,OWN,28.776663740953087,707,1,0,1,LP0167,15331,36,medical,18.270119871157405,
57,,0.0,RENT,35.411083284994575,581,2,1,0,LP0168,6538,48,medical,50.7328769423337,Low Credit Score
48,58283.0,15.0,MORTGAGE,26.498162083221235,745,1,0,1,LP0169,18170,48,debt_consolidation,17.830357786549904,
36,72607.0,22.0,OWN,25.12231006566317,716,1,0,1,LP0170,9643,48,medical,14.699604035516556,
50,63530.0,6.0,MORTGAGE,5.0,743,1,0,1,LP0171,36277,24,medical,19.324744190058183,
46,66080.0,26.0,OWN,5.0,792,0,0,1,LP0172,23259,48,debt_consolidation,9.339385847861704,
22,50377.0,6.0,MORTGAGE,24.938221535288285,721,0,0,1,LP0173,16171,12,debt_consolidation,15.864211553081773,
45,20000.0,4.0,RENT,34.24465390291162,631,3,0,0,LP0174,7230,60,debt_consolidation,61.923105634930984,Delinquencies
32,85548.0,5.0,MORTGAGE,15.737191653993186,736,0,1,1,LP0175,31733,48,car,15.658945791056682,
41,48690.0,2.0,MORTGAGE,24.71437106474706,681,2,0,1,LP0176,13922,60,debt_consolidation,15.747062424604442,
25,63407.0,10.0,MORTGAGE,14.631884294832988,670,0,0,1,LP0177,15019,24,debt_consolidation,21.0121545288978,
44,114574.0,19.0,MORTGAGE,17.79740824982104,771,0,0,1,LP0178,41240,48,medical,6.600471267475524,
47,47710.0,0.0,RENT,33.53013380186556,633,1,1,0,LP0179,16153,36,home_improvement,63.8161992494587,Other
42,,,RENT,36.46757260974508,650,0,0,0,LP0180,4380,24,home_improvement,74.81917163268892,Other
50,56844.0,15.0,MORTGAGE,14.184378058661709,718,0,0,1,LP0181,25119,12,car,18.78805468463155,
41,44323.0,2.0,RENT,30.30776805525891,520,4,0,0,LP0182,14597,12,car,63.3744038252493,Low Credit Score
39,62069.0,3.0,MORTGAGE,16.804381527485205,750,1,0,1,LP0183,23150,60,home_improvement,2.6377717095282605,
24,40000.0,21.0,MORTGAGE,19.896404359113248,723,0,0,1,LP0184,17567,60,home_improvement,18.90733707123725,
38,,,RENT,31.769957062567787,532,3,1,0,LP0185,6043,36,debt_consolidation,79.76190099729804,Low Credit Score
35,68717.0,14.0,MORTGAGE,14.191770469309823,697,1,0,1,LP0186,22793,36,medical,16.78314808050801,
29,67376.0,11.0,OWN,20.18040977563625,701,0,0,1,LP0187,25670,12,debt_consolidation,22.13504451349531,
34,63536.0,9.0,MORTGAGE,11.430692710113114,728,0,0,1,LP0188,14455,48,car,16.857005429661175,
48,20732.0,1.0,OTHER,32.76893090021464,518,2,0,0,LP0189,6331,12,home_improvement,64.52956551701519,Low Credit Score
45,24500.0,0.0,RENT,38.32380121204999,648,3,1,0,LP0190,7657,12,car,79.5431010179649,Delinquencies
34,20000.0,1.0,RENT,25.0,605,4,0,0,LP0191,4087,36,debt_consolidation,69.28821006012149,Low Credit Score
43,20000.0,3.0,RENT,41.766716993947135,624,3,1,0,LP0192,10635,60,car,54.1898793023744,High DTI
36,20000.0,,RENT,38.92145213992593,615,1,0,0,LP0193,3185,36,car,55.261716640917946,Low Credit Score
28,51057.0,2.0,MORTGAGE,20.457375318409703,676,1,0,1,LP0194,8689,36,medical,13.12390384933051,
43,102617.0,25.0,MORTGAGE,23.705663657656252,697,0,0,1,LP0195,44271,36,car,14.219931702883724,
38,70479.0,16.0,OWN,18.492314085371014,745,0,0,1,LP0196,26170,12,debt_consolidation,21.285424460526727,
38,44797.0,19.0,MORTGAGE,10.964380024701859,693,0,0,1,LP0197,8843,48,medical,7.29355669549021,
42,50733.0,2.0,MORTGAGE,16.975381041129456,678,1,0,1,LP0198,18300,12,car,18.10062025478468,
28,45424.0,6.0,OWN,15.328434988619128,704,1,0,1,LP0199,20294,24,debt_consolidation,7.05560040097475,
38,50923.0,29.0,OWN,17.852826345452545,799,1,0,1,LP0200,15122,36,home_improvement,16.9959435844073,
35,87681.0,21.0,OWN,21.178647680786543,772,1,0,1,LP0201,49091,36,medical,14.887952758008993,
38,79398.0,8.0,OWN,30.0,680,0,0,1,LP0202,10130,24,car,18.06200080399007,
46,25786.0,3.0,RENT,25.0,650,0,1,0,LP0203,9524,36,car,69.08843211814504,Other
34,49076.0,13.0,OWN,19.779446887771595,721,0,0,1,LP0204,20447,36,medical,12.32483457654215,
31,31693.0,,RENT,28.28414726981768,650,0,1,0,LP0205,12332,36,debt_consolidation,63.1269163839196,Other
35,60489.0,12.0,MORTGAGE,17.39519094806639,670,0,0,1,LP0206,16910,24,car,12.450837417490995,
41,40000.0,10.0,MORTGAGE,17.10244768629244,705,0,0,1,LP0207,10838,12,debt_consolidation,18.777576302642515,
38,,4.0,RENT,34.396694552750404,607,0,1,0,LP0208,6888,36,medical,50.70269343763992,Low Credit Score
42,60154.0,29.0,MORTGAGE,19.2446454765833,737,0,0,1,LP0209,22953,48,car,12.771241210349194,
52,21812.0,0.0,RENT,42.96527209142962,582,4,0,0,LP0210,7857,24,home_improvement,75.35396449804743,Low Credit Score
48,83365.0,26.0,OWN,20.058931455229335,731,0,0,1,LP0211,33679,60,home_improvement,15.017524158343095,
48,63723.0,18.0,MORTGAGE,17.239000098211665,738,0,0,1,LP0212,12624,24,home_improvement,13.899089429792989,
48,32905.0,,RENT,36.229392164513506,486,2,1,0,LP0213,9122,12,medical,56.913399583422866,Low Credit Score
26,27652.0,4.0,RENT,27.82196058001507,643,3,0,0,LP0214,5696,24,car,72.20843602130685,Delinquencies
51,20000.0,0.0,RENT,34.55412848085109,528,1,0,0,LP0215,5227,60,medical,59.821947346698835,Low Credit Score
30,68025.0,28.0,MORTGAGE,21.488884505056063,789,0,0,1,LP0216,27313,48,car,19.551258407664307,
34,20000.0,1.0,RENT,25.0,513,2,0,0,LP0217,6215,60,home_improvement,58.73165679108523,Low Credit Score
41,46859.0,4.0,MORTGAGE,17.31322913046928,745,1,0,1,LP0218,26273,24,home_improvement,12.298141898674954,
55,20000.0,2.0,RENT,30.612806887133363,615,1,0,0,LP0219,6386,60,debt_consolidation,67.44447958497453,Low Credit Score
46,20603.0,3.0,RENT,34.45826242117836,476,4,1,0,LP0220,6303,24,medical,64.02618994086532,Low Credit Score
38,83716.0,10.0,MORTGAGE,17.185602112702796,674,1,0,1,LP0221,26003,48,medical,10.806862606683945,
44,20000.0,0.0,RENT,37.50912293926256,507,3,1,0,LP0222,4724,48,debt_consolidation,73.841243210314,Low Credit Score
51,30454.0,2.0,RENT,48.89554354415442,569,2,0,0,LP0223,8960,12,home_improvement,61.42033111246602,Low Credit Score
23,56643.0,14.0,MORTGAGE,20.082307223780706,712,0,0,1,LP0224,23381,48,home_improvement,19.915250743394758,
44,24876.0,0.0,RENT,32.72070121698028,650,1,0,0,LP0225,7746,36,medical,61.11190214540627,Other
43,55233.0,21.0,MORTGAGE,19.158240077419915,712,0,0,1,LP0226,12187,60,car,11.496868148807117,
20,40000.0,10.0,MORTGAGE,21.0701282362924,698,0,0,1,LP0227,8299,60,home_improvement,15.77827098549866,
40,91108.0,16.0,MORTGAGE,22.26693221664541,799,0,0,1,LP0228,23230,24,debt_consolidation,9.491590600356595,
55,20000.0,,RENT,25.0,650,2,0,0,LP0229,6147,48,debt_consolidation,57.924221089814864,Delinquencies
31,44589.0,8.0,MORTGAGE,24.599303353327404,769,0,0,1,LP0230,18698,12,debt_consolidation,19.01078395581406,
34,44334.0,4.0,MORTGAGE,9.615457630153728,681,0,0,1,LP0231,7357,12,medical,9.159565239460758,
38,27381.0,4.0,RENT,38.187584364096004,543,1,1,0,LP0232,7338,12,medical,74.01296211206026,Low Credit Score
30,67953.0,23.0,OWN,17.531937953582762,794,1,0,1,LP0233,21366,36,medical,21.108540697599768,
20,57587.0,13.0,OWN,23.566802529719695,747,1,0,1,LP0234,6716,48,medical,9.289426315406931,
29,69342.0,7.0,MORTGAGE,26.86395588218358,724,0,0,1,LP0235,15022,12,debt_consolidation,9.17416692120588,
52,42671.0,4.0,MORTGAGE,17.786481026383584,748,0,0,1,LP0236,9900,36,debt_consolidation,11.94793427050933,
39,51059.0,27.0,MORTGAGE,8.258263702863642,743,2,0,1,LP0237,11253,60,medical,7.9239744012754585,
